t,n,e0,e1,e2,e3
172,2.9765908679435658,17.87874629849494,0.0,0.0,19.951809915865997
173,2.7086591401823226,19.816270535837194,0.0,0.0,19.951809915865997
174,1.7891894670865187,19.816270535837194,0.0,0.0,20.55289671162124
175,1.0635380257487868,19.816270535837194,0.0,0.0,19.55289671162124
176,1.1988654048219591,18.816270535837194,0.0,0.0,19.55289671162124
177,2.070752236080345,18.816270535837194,0.0,0.0,20.499937800840808
178,2.877589787777116,18.816270535837194,0.0,0.0,20.889572802865004
179,2.877575335804269,21.21651940800447,0.0,0.0,20.889572802865004
180,2.070722167238991,21.21651940800447,0.0,0.0,21.609175776170865
181,1.1988473642661694,21.21651940800447,0.0,0.0,20.609175776170865
182,1.063548599882356,21.21651940800447,0.0,0.0,20.609175776170865
183,1.7892189340998086,20.21651940800447,0.0,0.0,21.10162509660209
184,2.7086804082392084,20.21651940800447,0.0,0.0,21.615514960282745
185,2.9765843832906294,20.21651940800447,0.0,0.0,21.615514960282745
186,2.3466211800942762,21.528053248481577,0.0,0.0,21.615514960282745
187,1.3979760624447168,21.528053248481577,0.0,0.0,22.13162459735635
188,1.002828976607851,21.528053248481577,0.0,0.0,21.13162459735635
189,1.5244763309879417,20.528053248481577,0.0,0.0,21.651800386596708
190,2.483317953667963,20.528053248481577,0.0,0.0,22.280764971477236
191,2.9977992786806,20.528053248481577,0.0,0.0,22.487939942468255
192,2.594908548461427,22.230217129753377,0.0,0.0,22.487939942468255
193,1.6450616423481537,22.230217129753377,0.0,0.0,23.036696376578874
194,1.021543425377887,22.230217129753377,0.0,0.0,22.036696376578874
195,1.2976136707315078,21.230217129753377,0.0,0.0,22.30694455056276
196,2.2194546679940634,21.230217129753377,0.0,0.0,23.017357070140243
197,2.9395300555699313,21.230217129753377,0.0,0.0,23.341795049414976
198,2.795805842919647,23.384792028261927,0.0,0.0,23.341795049414976
199,1.9204214083357165,23.384792028261927,0.0,0.0,23.99510403827761
200,1.1182011639324498,23.384792028261927,0.0,0.0,22.99510403827761
201,1.1267027027860053,22.384792028261927,0.0,0.0,22.99510403827761
202,1.9381097492812793,22.384792028261927,0.0,0.0,23.72834293284771
203,2.8064184068658307,22.384792028261927,0.0,0.0,24.176361244455993
204,2.9333097001669604,22.384792028261927,0.0,0.0,24.176361244455993
205,2.2021203593127914,24.339274212308876,0.0,0.0,24.961034105040632
206,1.2851024922322356,24.339274212308876,0.0,0.0,23.961034105040632
207,1.02535809687459,24.339274212308876,0.0,0.0,24.75891450996735
208,1.6616949724590222,23.339274212308876,0.0,0.0,23.75891450996735
209,2.60906793019106,23.339274212308876,0.0,0.0,24.329038975307757
210,2.9964666417661077,23.339274212308876,0.0,0.0,24.329038975307757
211,2.467718518342759,24.824335285034493,0.0,0.0,24.329038975307757
212,1.508952146149537,24.824335285034493,0.0,0.0,24.907388097110438
213,1.0016529062032282,24.824335285034493,0.0,0.0,23.907388097110438
214,1.4122293801801593,23.824335285034493,0.0,0.0,24.31728704657111
215,2.3631994513763606,23.824335285034493,0.0,0.0,24.990669207105743
216,2.9802456219572226,23.824335285034493,0.0,0.0,25.251775467189496
217,2.6960584883449115,25.73341501824396,0.0,0.0,25.251775467189496
218,1.7719183905864722,25.73341501824396,0.0,0.0,25.846329948716694
219,1.0574754726705975,25.73341501824396,0.0,0.0,24.846329948716694
220,1.2095852585068185,24.73341501824396,0.0,0.0,24.846329948716694
221,2.0883987124875314,24.73341501824396,0.0,0.0,25.82122087192023
222,2.885938797878757,24.73341501824396,0.0,0.0,26.203111590690717
223,2.8689508382163496,27.105261746731664,0.0,0.0,26.203111590690717
224,2.053053485269935,27.105261746731664,0.0,0.0,26.914510421039783
225,1.1883790026350254,27.105261746731664,0.0,0.0,25.914510421039783
226,1.0699051219954745,27.105261746731664,0.0,0.0,25.914510421039783
227,1.8065561828409922,26.105261746731664,0.0,0.0,26.434695630333504
228,2.721058597070632,26.105261746731664,0.0,0.0,26.94090873508815
229,2.9726230624856242,26.105261746731664,0.0,0.0,26.94090873508815
230,2.3299623697323972,27.394987685987147,0.0,0.0,26.94090873508815
231,1.3839357959466354,27.394987685987147,0.0,0.0,27.449510717212505
232,1.0043158102418968,27.394987685987147,0.0,0.0,26.449510717212505
233,1.5401232767678574,26.394987685987147,0.0,0.0,26.983015677566467
234,2.498739281803281,26.394987685987147,0.0,0.0,27.60544377763856
235,2.9988166912028085,26.394987685987147,0.0,0.0,27.80557566536341
236,2.5805866409896447,28.070559167774846,0.0,0.0,27.80557566536341
237,1.6285679105630773,28.070559167774846,0.0,0.0,28.348645842123652
238,1.0180421302179745,28.070559167774846,0.0,0.0,27.348645842123652
239,1.3103238868197329,27.070559167774846,0.0,0.0,27.635747670158192
240,2.2366906812750766,27.070559167774846,0.0,0.0,28.342723101021864
241,2.9454451549211167,27.070559167774846,0.0,0.0,28.65959949326489
242,2.7849617132764033,29.195958652047196,0.0,0.0,28.65959949326489
243,1.9027880924817757,29.195958652047196,0.0,0.0,29.305609855842064
244,1.1099906511437228,29.195958652047196,0.0,0.0,28.305609855842064
245,1.1354637006557282,28.195958652047196,0.0,0.0,28.305609855842064
246,1.9557874367714403,28.195958652047196,0.0,0.0,29.067595359734568
247,2.8167599996228088,28.195958652047196,0.0,0.0,29.507813221176935
248,2.9268071855026885,28.195958652047196,0.0,0.0,29.507813221176935
249,2.184752119221718,30.120064299775105,0.0,0.0,30.283439160026635
250,1.272836806556351,30.120064299775105,0.0,0.0,29.283439160026635
251,1.0294719804581947,30.120064299775105,0.0,0.0,29.283439160026635
252,1.678406139707496,29.120064299775105,0.0,0.0,29.60207335654112
253,2.623012211003653,29.120064299775105,0.0,0.0,30.164872817856708
254,2.9948237286710673,29.120064299775105,0.0,0.0,30.164872817856708
255,2.4519988980629837,30.580973456417194,0.0,0.0,30.164872817856708
256,1.493608365075509,30.580973456417194,0.0,0.0,30.734297679399386
257,1.0007919658929372,30.580973456417194,0.0,0.0,29.734297679399386
258,1.4266428251844574,29.580973456417194,0.0,0.0,30.159811546221412
259,2.379635626829303,29.580973456417194,0.0,0.0,30.827808317958326
260,2.983593183946681,29.580973456417194,0.0,0.0,31.081610854072693
261,2.683239703815851,31.461780380511122,0.0,0.0,31.081610854072693
262,1.7547187909180573,31.461780380511122,0.0,0.0,31.669733524535737
263,1.0517082904779511,31.461780380511122,0.0,0.0,30.669733524535737
264,1.2205528145011366,30.461780380511122,0.0,0.0,30.669733524535737
265,2.1060174862671137,30.461780380511122,0.0,0.0,31.672206553734764
266,2.8940101700837944,30.461780380511122,0.0,0.0,32.04636901390189
267,2.86005402646457,32.805025172940304,0.0,0.0,32.04636901390189
268,2.035368177256176,32.805025172940304,0.0,0.0,32.74967275426063
269,1.1781649889871604,32.805025172940304,0.0,0.0,31.74967275426063
270,1.0765531197570133,32.805025172940304,0.0,0.0,31.74967275426063
271,1.8239540535287886,31.805025172940304,0.0,0.0,32.29780401819914
272,2.7332108186087174,31.805025172940304,0.0,0.0,32.79631260909308
273,2.968356938434724,31.805025172940304,0.0,0.0,32.79631260909308
274,2.3132001548706698,33.07325895898077,0.0,0.0,32.79631260909308
275,1.3700885933150386,33.07325895898077,0.0,0.0,33.29758700182816
276,1.006114674080274,33.07325895898077,0.0,0.0,32.29758700182816
277,1.5559143399590902,32.07325895898077,0.0,0.0,32.84404525359892
278,2.5140043136735692,32.07325895898077,0.0,0.0,33.45981821044413
279,2.99952109184891,32.07325895898077,0.0,0.0,33.45981821044413
280,2.566082787706044,33.72250321478827,0.0,0.0,33.45981821044413
281,1.6121905791707705,33.72250321478827,0.0,0.0,34.10110214555997
282,1.0148485636711149,33.72250321478827,0.0,0.0,33.10110214555997
283,1.3232502354736164,32.72250321478827,0.0,0.0,33.40499149697895
284,2.253852519790234,32.72250321478827,0.0,0.0,34.108261565911555
285,2.951063968112585,32.72250321478827,0.0,0.0,34.41760365560039
286,2.7738715902084317,34.8187594752042,0.0,0.0,34.41760365560039
287,1.885185241158334,34.8187594752042,0.0,0.0,35.05641910031067
288,1.1020590518918754,34.8187594752042,0.0,0.0,34.05641910031067
289,1.1444956292491792,33.8187594752042,0.0,0.0,34.05641910031067
290,1.973478979714244,33.8187594752042,0.0,0.0,34.84713891366951
291,2.8268456339220815,33.8187594752042,0.0,0.0,35.27955631612464
292,2.9200142254959647,33.8187594752042,0.0,0.0,35.27955631612464
293,2.1673259810118393,35.71245476387356,0.0,0.0,36.046250455699855
294,1.260799001248726,35.71245476387356,0.0,0.0,35.046250455699855
295,1.0338900107374704,35.71245476387356,0.0,0.0,35.046250455699855
296,1.695218088909697,34.71245476387356,0.0,0.0,35.39080901517739
297,2.6367612505645517,34.71245476387356,0.0,0.0,35.946220243865035
298,2.992869055025318,34.71245476387356,0.0,0.0,35.946220243865035
299,2.4361376291460486,36.14951920123624,0.0,0.0,35.946220243865035
300,1.4784232783816296,36.14951920123624,0.0,0.0,36.50691692357583
301,1.0002441600988505,36.14951920123624,0.0,0.0,35.50691692357583
302,1.441235950410911,35.14951920123624,0.0,0.0,35.94780106757171
303,2.3959528310427407,35.14951920123624,0.0,0.0,36.61023033903113
304,2.9866325048439104,35.14951920123624,0.0,0.0,36.85676260216592
305,2.670206803780506,37.002239294028264,0.0,0.0,36.85676260216592
306,1.737596058138336,37.002239294028264,0.0,0.0,37.43855365122207
307,1.0462382865060014,37.002239294028264,0.0,0.0,36.43855365122207
308,1.231764635762553,36.002239294028264,0.0,0.0,36.43855365122207
309,2.123603036000113,36.002239294028264,0.0,0.0,37.46830448656195
310,2.9018013749637745,36.002239294028264,0.0,0.0,37.83475637317699
311,2.8508876886558596,38.31671367158737,0.0,0.0,37.83475637317699
312,2.0176717854673707,38.31671367158737,0.0,0.0,38.53007335898983
313,1.1682085242177955,38.31671367158737,0.0,0.0,37.53007335898983
314,1.0834905097994532,38.31671367158737,0.0,0.0,37.53007335898983
315,1.841407093971427,37.31671367158737,0.0,0.0,38.1063391161708
316,2.7451332645574125,37.31671367158737,0.0,0.0,38.59711933177043
317,2.963787348067422,37.31671367158737,0.0,0.0,38.59711933177043
318,2.2963397884973222,38.56377077048489,0.0,0.0,38.59711933177043
319,1.3564387940237381,38.56377077048489,0.0,0.0,39.0912442660812
320,1.0082250043901673,38.56377077048489,0.0,0.0,38.0912442660812
321,1.5718445719155485,37.56377077048489,0.0,0.0,38.65026587839113
322,2.5291082654818533,37.56377077048489,0.0,0.0,39.259272462547045
323,2.999912259871926,37.56377077048489,0.0,0.0,39.259272462547045
324,2.551401533867395,39.18696022537998,0.0,0.0,39.259272462547045
325,1.5959347805436392,39.18696022537998,0.0,0.0,39.8902991379668
326,1.01196372654583,39.18696022537998,0.0,0.0,38.8902991379668
327,1.3363886657990567,38.18696022537998,0.0,0.0,39.21088863217782
328,2.2709348053161653,38.18696022537998,0.0,0.0,39.910195774953024
329,2.9563847343054626,38.18696022537998,0.0,0.0,40.212031797451196
330,2.7625389491684937,40.254127524735,0.0,0.0,40.212031797451196
331,1.8676183707945482,40.254127524735,0.0,0.0,40.843755520389884
332,1.0944088518029327,40.254127524735,0.0,0.0,39.843755520389884
333,1.1537956581161484,39.254127524735,0.0,0.0,39.843755520389884
334,1.991178833886114,39.254127524735,0.0,0.0,40.663165908569624
335,2.836672149100295,39.254127524735,0.0,0.0,41.08778538564796
336,2.9129329489429683,39.254127524735,0.0,0.0,41.08778538564796
337,2.149847405733478,41.11741015247831,0.0,0.0,41.84566197227266
338,1.2489928487493458,41.11741015247831,0.0,0.0,40.84566197227266
339,1.0386108031781394,41.11741015247831,0.0,0.0,40.84566197227266
340,1.712125551491514,40.11741015247831,0.0,0.0,41.21646689978358
341,2.6503107401625527,40.11741015247831,0.0,0.0,41.76443208134036
342,2.990603233389774,40.11741015247831,0.0,0.0,41.76443208134036
343,2.4201396822393066,41.530939481639365,0.0,0.0,41.76443208134036
344,1.4634016448114364,41.530939481639365,0.0,0.0,42.31659437032602
345,1.0000096604938291,41.530939481639365,0.0,0.0,42.31659437032602
346,1.4560041826264678,40.530939481639365,0.0,0.0,42.31659437032602
347,2.4121459504870852,40.530939481639365,0.0,0.0,41.31659437032602
348,2.9893626321783087,40.530939481639365,0.0,0.0,41.555890289204676
349,2.6569638725243396,42.35577206400975,0.0,0.0,41.555890289204676
350,1.720555558215618,42.35577206400975,0.0,0.0,42.13144962071404
351,1.041067174959387,42.35577206400975,0.0,0.0,41.13144962071404
352,1.2432172087001967,41.35577206400975,0.0,0.0,41.13144962071404
353,2.1411498506793913,41.35577206400975,0.0,0.0,42.18813712578586
